name; break;%;*;+;-;/;==;^;for;if;print;try:;while
Binarni cislo;0;0;2.0;1.5849625007211563;1.0;0;0;0;1.0;0;0;0;0
Binarni zapis;0;1.0;0;0;0;0;1.0;0;0;1.0;1.5849625007211563;0;0
Ciferny soucet;0;0;0;1.0;0;1.0;0;0;0;1.0;0;0;1.0
Cik-cak;0;1.0;0;1.0;0;0;1.0;0;1.5849625007211563;1.0;2.0;0;0
Ctverec;0;0;2.584962500721156;2.0;1.5849625007211563;0;1.5849625007211563;0;1.0;1.0;1.5849625007211563;0;0
Delitele;0;0;0;0;0;0;1.0;0;1.0;1.0;1.0;0;0
Dvojnasobek;0;0;1.0;1.0;0;0;0;0;0;0;1.5849625007211563;0;0
Faktorial;0;0;1.0;0;0;0;0;0;1.0;0;0;0;0
Fibonacciho posloupnost;0;0;0;1.0;0;0;0;0;1.0;0;1.5849625007211563;0;0
Mocniny dvojky;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0
Nejdelsi slovo;0;0;0;0;0;0;1.0;0;1.0;1.0;0;0;0
Nejvetsi spolecny delitel;0;1.5849625007211563;0;1.0;0;0;1.5849625007211563;0;1.0;1.5849625007211563;0;0;0
Palindrom;0;0;0;0;1.0;0;1.0;0;0;1.0;0;0;0
Pascaluv trojuhelnik;0;0;0;1.0;0;0;0;0;2.0;0;1.5849625007211563;0;0
Pocet delitelu;0;1.0;0;0;0;0;1.0;0;1.0;1.0;0;0;0
Prvni pismena;0;0;0;1.0;1.0;0;1.5849625007211563;0;1.0;1.0;0;0;0
Sachovnice;0;1.5849625007211563;0;1.0;0;0;1.0;0;1.5849625007211563;1.0;2.0;0;0
Soucet;0;0;1.0;1.0;0;1.0;0;0;0;0;0;0;0
Suda cisla;0;0;0;0;0;0;0;0;1.0;0;1.0;0;0
Tajna posloupnost;0;0;0;1.5849625007211563;0;0;0;0;1.0;1.0;1.0;0;0
Trojuhelnik;0;0;1.0;0;0;0;0;0;1.0;0;1.0;0;0
Velke X;0;0;0;0;0;0;1.0;0;1.5849625007211563;1.0;1.0;0;0
Vypis prvocisel;0;1.0;0;2.0;0;0;1.5849625007211563;0;1.0;1.5849625007211563;0;0;1.0
